flight_distance_km,booking_time_days,demand_factor,seat_availability,seasonality_factor,fare
7470,196,1.5517093916262104,0.35596661719890443,1.2,424
1060,311,1.520167828170459,0.6039291610001114,0.8,430
5590,262,1.1122275363000471,0.8149977050900103,1.2,1035
5391,143,0.5230923375369627,0.24955721486319035,1.2,63
5934,342,1.3743890852063947,0.6614463357106046,1.0,792
6465,316,0.8796523087694131,0.2953683542724587,1.2,718
666,101,1.1753813692143356,0.22916884066049478,1.0,549
4626,244,1.936371522625726,0.24219516172977393,0.8,1464
5778,12,1.0985529764636521,0.8673312865667531,1.2,614
8522,239,1.75970240999664,0.29437798690244926,0.8,579
1885,49,0.7828109086238767,0.23612109152983357,0.8,541
969,42,1.5086907470375432,0.5503199097143299,0.8,1458
7149,166,1.9655104316584153,0.87519477755362,1.2,1269
2633,82,0.6528396513094052,0.4099267011914416,1.0,804
5511,291,0.512479913340788,0.5373700940207331,1.2,349
5251,158,1.1503741889489216,0.231938026051001,0.8,864
6620,216,0.6389382245770507,0.5592628113079008,1.0,596
1384,158,1.622576524514347,0.662090464509707,0.8,776
4755,134,1.8718229957728383,0.6567256430017159,1.0,780
3585,67,1.1510314590631383,0.46594135373949214,1.2,877
6596,336,0.8880674632331614,0.45242654453050846,1.0,651
8866,7,1.1516049785099147,0.2852988951492783,1.2,1381
9474,14,1.5851717267750014,0.49343865651701474,0.8,1325
2758,73,0.5135812423705565,0.27959573509837177,1.0,1081
8049,163,1.3841809842270458,0.8132767557696414,0.8,817
2247,66,1.4199375273310686,0.9730194381985486,1.0,924
2947,347,1.4565323703439033,0.9760595653333655,1.2,1281
9367,130,0.8630331199713158,0.8920568795003152,1.0,986
389,206,1.57107908506719,0.6806337194716954,1.0,180
2934,276,0.6370872294976646,0.760692557795104,1.2,657
3205,256,0.7989055047002012,0.42816464214433125,1.2,75
4858,266,1.816205069981723,0.7046163361380966,1.2,684
2099,25,1.6080847260898494,0.564519639551902,1.0,1259
7934,281,0.5206183310170178,0.585613871821546,0.8,533
1467,253,0.8725643905547003,0.8062212483001263,1.0,729
1728,310,0.8216097244897469,0.42553468447780135,1.0,1124
3756,289,0.9062094920554589,0.45443168935561595,0.8,54
4090,164,0.8713396554198296,0.9397134329029093,1.2,638
9038,95,0.5937894436142686,0.2449794358807778,1.0,1233
5593,270,1.1884107748952304,0.5885074387306723,0.8,257
8992,321,1.5991002121792477,0.9302406403262895,1.2,306
8633,110,1.4100975870761547,0.6882904062545256,1.2,1278
7713,336,1.5093075028971197,0.6371256593697057,1.0,60
2812,310,0.6217237678043588,0.3997953433834842,1.2,998
7241,238,1.9272360652651808,0.47462039125155864,1.2,57
9755,25,1.7577377507645373,0.8816387326437545,0.8,1482
6435,141,1.7076354777434941,0.6473745054147666,0.8,985
5686,117,1.7344757075626513,0.611793755005424,1.2,81
7299,25,1.899065762199142,0.27966377083202315,0.8,589
9870,79,1.3163809491705465,0.2128225251640985,1.2,1054
975,68,0.8004230268014388,0.9709481509496394,1.0,436
8426,173,1.4251754117788118,0.5015889338294733,0.8,1301
3352,12,1.6143222405019084,0.6825704496796035,1.2,689
1785,288,1.6068760900310382,0.263772058549828,1.2,256
4143,128,1.2821735362503202,0.7464914285784372,0.8,1391
7755,96,0.602688079000367,0.9460533669647688,0.8,606
3273,92,1.0566694076451917,0.6605322023979358,1.0,397
1221,141,1.881149912695036,0.3008922579003285,1.2,842
4043,31,1.376673364636139,0.6653772219787815,1.0,283
8189,334,1.3074979148835701,0.813077770483722,1.0,1117
9892,20,0.9032802715732903,0.525133229259215,1.0,1055
7073,146,1.0526733798748684,0.9038701983531743,0.8,786
5875,316,1.843019133729754,0.7189463626858916,1.0,991
361,160,1.4996945712902536,0.9193991346313621,0.8,1215
4497,349,1.6810805401284994,0.6988042489978699,0.8,225
1195,43,1.1815181346014827,0.3050303776038594,1.0,498
7829,254,1.4453708291842369,0.4477533688841513,1.0,641
9667,130,0.8725754131148113,0.36143595860196553,1.2,131
1216,60,1.5581912454252294,0.92706119817349,1.0,184
8069,151,1.141402000555006,0.8083200538299862,1.2,905
6639,287,1.1638182722221184,0.7411186951280049,1.0,1250
8092,5,1.4739834868653225,0.44077305570529735,1.0,1456
7063,266,1.90442093220339,0.34723581764017086,1.0,1316
8116,345,0.5960095199129314,0.8051608703911295,1.0,1214
8729,130,1.7371148560205114,0.5793263567032638,1.2,489
1078,267,0.9385746656182896,0.38063164172050334,1.2,1129
9468,178,1.1658791817595668,0.6932975825322201,1.0,746
5087,253,0.5328699931625134,0.2322670817107616,1.0,468
5059,56,0.9515691167514695,0.4609362033026028,1.2,137
6531,83,1.2539468639451958,0.5748455956729077,0.8,705
8771,99,0.5842641160211586,0.3183666672875247,0.8,1081
8884,149,1.2366435940747478,0.9877235820726717,0.8,264
7408,329,1.890665943287641,0.36727789167169145,1.2,601
5476,156,0.6580898271617078,0.30428250403461243,1.2,552
2262,190,1.6466610921132565,0.3628278991095171,0.8,748
264,263,1.1145065800639888,0.8152489065277795,0.8,294
